Time: 2019-Dec-05__16_06_27PM2.5: 0.6  PM10: 0.6
Time: 2019-Dec-05__16_06_29PM2.5: 0.6  PM10: 0.6
Time: 2019-Dec-05__16_06_31PM2.5: 0.6  PM10: 0.6
Time: 2019-Dec-05__16_06_33PM2.5: 0.6  PM10: 0.6
Time: 2019-Dec-05__16_06_35PM2.5: 0.6  PM10: 0.6
Time: 2019-Dec-05__16_06_37PM2.5: 0.6  PM10: 0.6
Time: 2019-Dec-05__16_06_39PM2.5: 0.6  PM10: 0.6
Time: 2019-Dec-05__16_06_42PM2.5: 0.6  PM10: 0.6
Time: 2019-Dec-05__16_07_14PM2.5: 0.0  PM10: 0.0
Time: 2019-Dec-05__16_07_16PM2.5: 0.6  PM10: 0.6
Time: 2019-Dec-05__16_07_18PM2.5: 0.7  PM10: 0.8
Time: 2019-Dec-05__16_07_21PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_07_23PM2.5: 0.7  PM10: 0.7
Time: 2019-Dec-05__16_07_25PM2.5: 0.8  PM10: 3.4
Time: 2019-Dec-05__16_07_27PM2.5: 0.8  PM10: 2.8
Time: 2019-Dec-05__16_07_29PM2.5: 0.7  PM10: 2.5
Time: 2019-Dec-05__16_07_31PM2.5: 0.7  PM10: 2.2
Time: 2019-Dec-05__16_07_33PM2.5: 0.7  PM10: 2.0
Time: 2019-Dec-05__16_07_35PM2.5: 0.7  PM10: 1.8
Time: 2019-Dec-05__16_07_37PM2.5: 0.6  PM10: 1.7
Time: 2019-Dec-05__16_07_39PM2.5: 0.6  PM10: 1.6
Time: 2019-Dec-05__16_07_42PM2.5: 0.6  PM10: 1.5
Time: 2019-Dec-05__16_07_44PM2.5: 0.7  PM10: 1.5
Time: 2019-Dec-05__16_08_16PM2.5: 0.0  PM10: 0.0
Time: 2019-Dec-05__16_08_18PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_08_21PM2.5: 0.4  PM10: 0.4
Time: 2019-Dec-05__16_08_23PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_08_25PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_08_27PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_08_29PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_08_31PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_08_33PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_08_35PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_08_37PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_08_39PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_08_42PM2.5: 0.6  PM10: 0.6
Time: 2019-Dec-05__16_08_44PM2.5: 0.6  PM10: 0.6
Time: 2019-Dec-05__16_08_46PM2.5: 0.6  PM10: 0.6
Time: 2019-Dec-05__16_09_19PM2.5: 0.0  PM10: 0.0
Time: 2019-Dec-05__16_09_21PM2.5: 0.3  PM10: 0.3
Time: 2019-Dec-05__16_09_23PM2.5: 0.3  PM10: 0.3
Time: 2019-Dec-05__16_09_25PM2.5: 0.4  PM10: 0.4
Time: 2019-Dec-05__16_09_27PM2.5: 0.4  PM10: 0.6
Time: 2019-Dec-05__16_09_29PM2.5: 0.4  PM10: 0.5
Time: 2019-Dec-05__16_09_31PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_09_33PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_09_35PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_09_37PM2.5: 0.5  PM10: 1.9
Time: 2019-Dec-05__16_09_39PM2.5: 0.5  PM10: 1.7
Time: 2019-Dec-05__16_09_42PM2.5: 0.6  PM10: 1.7
Time: 2019-Dec-05__16_09_44PM2.5: 0.6  PM10: 1.6
Time: 2019-Dec-05__16_09_46PM2.5: 0.6  PM10: 1.7
Time: 2019-Dec-05__16_09_48PM2.5: 0.6  PM10: 1.6
Time: 2019-Dec-05__16_10_21PM2.5: 0.0  PM10: 0.0
Time: 2019-Dec-05__16_10_23PM2.5: 0.6  PM10: 0.6
Time: 2019-Dec-05__16_10_25PM2.5: 0.6  PM10: 0.6
Time: 2019-Dec-05__16_10_27PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_10_29PM2.5: 0.6  PM10: 0.6
Time: 2019-Dec-05__16_10_31PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_10_33PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_10_35PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_10_37PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_10_39PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_10_42PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_10_44PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_10_46PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_10_48PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_10_50PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_11_23PM2.5: 0.0  PM10: 0.0
Time: 2019-Dec-05__16_11_25PM2.5: 0.3  PM10: 0.3
Time: 2019-Dec-05__16_11_27PM2.5: 0.4  PM10: 0.4
Time: 2019-Dec-05__16_11_29PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_11_31PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_11_33PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_11_35PM2.5: 0.6  PM10: 0.6
Time: 2019-Dec-05__16_11_37PM2.5: 0.6  PM10: 0.6
Time: 2019-Dec-05__16_11_39PM2.5: 0.6  PM10: 0.6
Time: 2019-Dec-05__16_11_42PM2.5: 0.6  PM10: 0.6
Time: 2019-Dec-05__16_11_44PM2.5: 0.6  PM10: 1.0
Time: 2019-Dec-05__16_11_46PM2.5: 0.6  PM10: 0.9
Time: 2019-Dec-05__16_11_48PM2.5: 0.6  PM10: 0.9
Time: 2019-Dec-05__16_11_50PM2.5: 0.6  PM10: 0.8
Time: 2019-Dec-05__16_11_52PM2.5: 0.6  PM10: 0.8
Time: 2019-Dec-05__16_12_25PM2.5: 0.0  PM10: 0.0
Time: 2019-Dec-05__16_12_27PM2.5: 0.1  PM10: 0.1
Time: 2019-Dec-05__16_12_29PM2.5: 0.3  PM10: 7.7
Time: 2019-Dec-05__16_12_31PM2.5: 0.5  PM10: 5.3
Time: 2019-Dec-05__16_12_33PM2.5: 0.4  PM10: 4.0
Time: 2019-Dec-05__16_12_35PM2.5: 0.5  PM10: 3.3
Time: 2019-Dec-05__16_12_37PM2.5: 0.5  PM10: 2.6
Time: 2019-Dec-05__16_12_39PM2.5: 0.5  PM10: 2.3
Time: 2019-Dec-05__16_12_42PM2.5: 0.6  PM10: 2.2
Time: 2019-Dec-05__16_12_44PM2.5: 0.6  PM10: 2.0
Time: 2019-Dec-05__16_12_46PM2.5: 0.6  PM10: 1.8
Time: 2019-Dec-05__16_12_48PM2.5: 0.6  PM10: 1.7
Time: 2019-Dec-05__16_12_50PM2.5: 0.5  PM10: 1.5
Time: 2019-Dec-05__16_12_52PM2.5: 0.5  PM10: 1.5
Time: 2019-Dec-05__16_12_54PM2.5: 0.5  PM10: 1.4
Time: 2019-Dec-05__16_13_27PM2.5: 0.0  PM10: 0.0
Time: 2019-Dec-05__16_13_29PM2.5: 1.0  PM10: 1.2
Time: 2019-Dec-05__16_13_31PM2.5: 0.7  PM10: 0.7
Time: 2019-Dec-05__16_13_33PM2.5: 0.5  PM10: 0.5
Time: 2019-Dec-05__16_13_35PM2.5: 0.6  PM10: 0.6
Time: 2019-Dec-05__16_13_37PM2.5: 0.6  PM10: 0.6
Time: 2019-Dec-05__16_13_39PM2.5: 0.6  PM10: 0.6
