Time: 2019-Nov-25__15_28_53PM2.5: 0.6  PM10: 0.6
Time: 2019-Nov-25__15_28_56PM2.5: 0.6  PM10: 1.0
Time: 2019-Nov-25__15_29_28PM2.5: 0.0  PM10: 0.0
Time: 2019-Nov-25__15_29_30PM2.5: 0.5  PM10: 0.5
Time: 2019-Nov-25__15_29_32PM2.5: 0.6  PM10: 0.6
Time: 2019-Nov-25__15_29_35PM2.5: 0.6  PM10: 0.6
Time: 2019-Nov-25__15_29_37PM2.5: 0.6  PM10: 0.6
Time: 2019-Nov-25__15_29_39PM2.5: 0.6  PM10: 3.6
Time: 2019-Nov-25__15_29_41PM2.5: 0.6  PM10: 2.9
Time: 2019-Nov-25__15_29_43PM2.5: 0.6  PM10: 2.6
Time: 2019-Nov-25__15_29_45PM2.5: 0.6  PM10: 2.3
Time: 2019-Nov-25__15_29_47PM2.5: 0.6  PM10: 2.1
Time: 2019-Nov-25__15_29_49PM2.5: 0.6  PM10: 2.0
Time: 2019-Nov-25__15_29_51PM2.5: 0.6  PM10: 1.9
Time: 2019-Nov-25__15_29_53PM2.5: 0.6  PM10: 1.7
Time: 2019-Nov-25__15_29_56PM2.5: 0.6  PM10: 1.6
Time: 2019-Nov-25__15_29_58PM2.5: 0.6  PM10: 1.6
Time: 2019-Nov-25__15_30_30PM2.5: 0.0  PM10: 0.0
Time: 2019-Nov-25__15_30_32PM2.5: 0.1  PM10: 0.1
Time: 2019-Nov-25__15_30_35PM2.5: 0.2  PM10: 0.2
Time: 2019-Nov-25__15_30_37PM2.5: 0.4  PM10: 0.4
Time: 2019-Nov-25__15_30_39PM2.5: 0.4  PM10: 0.4
Time: 2019-Nov-25__15_30_41PM2.5: 0.3  PM10: 0.3
Time: 2019-Nov-25__15_30_43PM2.5: 0.4  PM10: 0.9
Time: 2019-Nov-25__15_30_45PM2.5: 0.5  PM10: 0.9
Time: 2019-Nov-25__15_30_47PM2.5: 0.4  PM10: 1.0
Time: 2019-Nov-25__15_30_49PM2.5: 0.4  PM10: 2.2
Time: 2019-Nov-25__15_30_51PM2.5: 0.4  PM10: 2.0
Time: 2019-Nov-25__15_30_53PM2.5: 0.4  PM10: 2.1
Time: 2019-Nov-25__15_30_56PM2.5: 0.4  PM10: 1.9
Time: 2019-Nov-25__15_30_58PM2.5: 0.4  PM10: 1.8
Time: 2019-Nov-25__15_31_00PM2.5: 0.4  PM10: 1.7
Time: 2019-Nov-25__15_31_33PM2.5: 0.0  PM10: 0.0
Time: 2019-Nov-25__15_31_35PM2.5: 0.7  PM10: 0.7
Time: 2019-Nov-25__15_31_37PM2.5: 0.5  PM10: 0.5
Time: 2019-Nov-25__15_31_39PM2.5: 0.4  PM10: 0.4
Time: 2019-Nov-25__15_31_41PM2.5: 0.4  PM10: 0.4
Time: 2019-Nov-25__15_31_43PM2.5: 0.5  PM10: 0.5
Time: 2019-Nov-25__15_31_45PM2.5: 0.4  PM10: 0.4
Time: 2019-Nov-25__15_31_47PM2.5: 0.4  PM10: 0.4
Time: 2019-Nov-25__15_31_49PM2.5: 0.4  PM10: 1.0
Time: 2019-Nov-25__15_31_51PM2.5: 0.4  PM10: 0.9
Time: 2019-Nov-25__15_31_53PM2.5: 0.4  PM10: 0.8
Time: 2019-Nov-25__15_31_56PM2.5: 0.4  PM10: 0.8
Time: 2019-Nov-25__15_31_58PM2.5: 0.4  PM10: 0.8
Time: 2019-Nov-25__15_32_00PM2.5: 0.4  PM10: 0.7
Time: 2019-Nov-25__15_32_02PM2.5: 0.4  PM10: 0.7
Time: 2019-Nov-25__15_32_35PM2.5: 0.0  PM10: 0.0
Time: 2019-Nov-25__15_32_37PM2.5: 0.3  PM10: 0.3
Time: 2019-Nov-25__15_32_39PM2.5: 0.4  PM10: 0.4
Time: 2019-Nov-25__15_32_41PM2.5: 0.4  PM10: 0.4
Time: 2019-Nov-25__15_32_43PM2.5: 0.4  PM10: 1.3
Time: 2019-Nov-25__15_32_45PM2.5: 0.5  PM10: 1.3
Time: 2019-Nov-25__15_32_47PM2.5: 0.5  PM10: 1.1
Time: 2019-Nov-25__15_32_49PM2.5: 0.5  PM10: 0.9
Time: 2019-Nov-25__15_32_51PM2.5: 0.5  PM10: 1.0
Time: 2019-Nov-25__15_32_53PM2.5: 0.5  PM10: 1.0
Time: 2019-Nov-25__15_32_56PM2.5: 0.5  PM10: 0.9
Time: 2019-Nov-25__15_32_58PM2.5: 0.5  PM10: 0.9
Time: 2019-Nov-25__15_33_00PM2.5: 0.5  PM10: 0.8
Time: 2019-Nov-25__15_33_02PM2.5: 0.5  PM10: 0.8
Time: 2019-Nov-25__15_33_04PM2.5: 0.5  PM10: 0.7
Time: 2019-Nov-25__15_33_37PM2.5: 0.0  PM10: 0.0
Time: 2019-Nov-25__15_33_39PM2.5: 0.6  PM10: 0.8
Time: 2019-Nov-25__15_33_41PM2.5: 0.4  PM10: 0.5
Time: 2019-Nov-25__15_33_43PM2.5: 0.5  PM10: 0.6
